asset_id,game,category,source_repo,source_path,source_git_blob_sha,size_bytes,license,local_path,status,notes
SV-PNG-STARMOBILE-SEGIN,Violet,starmobile-sprite,KotMatrosk1n/KM-Editor,apps/desktop/public/sprites/starmobiles/segin.png,a1996a9697474197dad16eb24f496777081ce043,2201,CC BY-NC-SA 4.0,assets/png/public-github/km-editor/starmobiles/segin.png,verified-copy,"Destination Git blob SHA matches upstream"
SV-PNG-STARMOBILE-SCHEDAR,Violet,starmobile-sprite,KotMatrosk1n/KM-Editor,apps/desktop/public/sprites/starmobiles/schedar.png,84e06cd6a4cc377864e0a36752aada4cbda44b78,2268,CC BY-NC-SA 4.0,assets/png/public-github/km-editor/starmobiles/schedar.png,verified-copy,"Destination Git blob SHA matches upstream"
SV-PNG-STARMOBILE-NAVI,Violet,starmobile-sprite,KotMatrosk1n/KM-Editor,apps/desktop/public/sprites/starmobiles/navi.png,f3af62cc83a310aa789ff38079778c821c9e7b3d,2253,CC BY-NC-SA 4.0,assets/png/public-github/km-editor/starmobiles/navi.png,verified-copy,"Destination Git blob SHA matches upstream"
